2013-05-05 15:11:51 install libpcre3:armhf <none> 1:8.31-2
2013-05-05 15:11:51 status half-installed libpcre3:armhf 1:8.31-2
2013-05-05 15:11:51 status unpacked libpcre3:armhf 1:8.31-2
2013-05-05 15:11:51 status unpacked libpcre3:armhf 1:8.31-2
2013-05-05 15:11:52 install libplymouth2:armhf <none> 0.8.8-0ubuntu6
2013-05-05 15:11:52 status half-installed libplymouth2:armhf 0.8.8-0ubuntu6
2013-05-05 15:11:52 status unpacked libplymouth2:armhf 0.8.8-0ubuntu6
2013-05-05 15:11:52 status unpacked libplymouth2:armhf 0.8.8-0ubuntu6
2013-05-05 15:11:52 install libpng12-0:armhf <none> 1.2.49-1ubuntu2
2013-05-05 15:11:52 status half-installed libpng12-0:armhf 1.2.49-1ubuntu2
2013-05-05 15:11:52 status unpacked libpng12-0:armhf 1.2.49-1ubuntu2
2013-05-05 15:11:52 status unpacked libpng12-0:armhf 1.2.49-1ubuntu2
2013-05-05 15:11:53 install libprocps0:armhf <none> 1:3.3.3-2ubuntu5
2013-05-05 15:11:53 status half-installed libprocps0:armhf 1:3.3.3-2ubuntu5
2013-05-05 15:11:53 status unpacked libprocps0:armhf 1:3.3.3-2ubuntu5
2013-05-05 15:11:53 status unpacked libprocps0:armhf 1:3.3.3-2ubuntu5
2013-05-05 15:11:53 install libselinux1:armhf <none> 2.1.9-5ubuntu1
2013-05-05 15:11:53 status half-installed libselinux1:armhf 2.1.9-5ubuntu1
2013-05-05 15:11:54 status unpacked libselinux1:armhf 2.1.9-5ubuntu1
2013-05-05 15:11:54 status unpacked libselinux1:armhf 2.1.9-5ubuntu1
2013-05-05 15:11:54 install libsemanage-common:all <none> 2.1.6-6ubuntu1
2013-05-05 15:11:54 status half-installed libsemanage-common:all 2.1.6-6ubuntu1
2013-05-05 15:11:54 status unpacked libsemanage-common:all 2.1.6-6ubuntu1
2013-05-05 15:11:54 status unpacked libsemanage-common:all 2.1.6-6ubuntu1
2013-05-05 15:11:54 install libsemanage1:armhf <none> 2.1.6-6ubuntu1
2013-05-05 15:11:54 status half-installed libsemanage1:armhf 2.1.6-6ubuntu1
